system:index,Longitude,PlotID,Type,description,doy-20140509,doy-20140525,doy-20140610,doy-20140626,doy-20140712,doy-20140728,doy-20140813,doy-20140829,doy-20140914,doy-20140930,doy-20150509,doy-20150525,doy-20150610,doy-20150626,doy-20150712,doy-20150728,doy-20150813,doy-20150829,doy-20150914,doy-20150930,evi-20140509,evi-20140525,evi-20140610,evi-20140626,evi-20140712,evi-20140728,evi-20140813,evi-20140829,evi-20140914,evi-20140930,evi-20150509,evi-20150525,evi-20150610,evi-20150626,evi-20150712,evi-20150728,evi-20150813,evi-20150829,evi-20150914,evi-20150930,geometry,name,ndvi-20140509,ndvi-20140525,ndvi-20140610,ndvi-20140626,ndvi-20140712,ndvi-20140728,ndvi-20140813,ndvi-20140829,ndvi-20140914,ndvi-20140930,ndvi-20150509,ndvi-20150525,ndvi-20150610,ndvi-20150626,ndvi-20150712,ndvi-20150728,ndvi-20150813,ndvi-20150829,ndvi-20150914,ndvi-20150930,summaryQA-20140509,summaryQA-20140525,summaryQA-20140610,summaryQA-20140626,summaryQA-20140712,summaryQA-20140728,summaryQA-20140813,summaryQA-20140829,summaryQA-20140914,summaryQA-20140930,summaryQA-20150509,summaryQA-20150525,summaryQA-20150610,summaryQA-20150626,summaryQA-20150712,summaryQA-20150728,summaryQA-20150813,summaryQA-20150829,summaryQA-20150914,summaryQA-20150930,.geo
1324,-114.35424,914.0,Biomass,,143,156,161,187,204,217,239,249,263,277,129,159,163,177,202,211,238,255,266,278,2227,1884,2660,2547,2199,2321,2182,1704,1681,1688,1852,2193,2485,2327,2197,2196,1942,1885,1965,1709,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35424,45.53152]}",,7298,5490,5693,5287,6161,5176,4925,4060,4325,4840,4781,6200,5294,5796,5059,5008,4289,5038,5155,4766,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35424,45.53152]}"
1322,-114.35481,912.0,Biomass,,132,149,161,192,199,217,239,256,263,277,129,159,176,177,202,223,238,252,262,287,1336,1796,2660,2590,2130,2167,2252,1732,1587,1688,1852,1967,3002,2188,2220,1985,2061,1970,1753,2132,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35481,45.53302]}",,5453,4881,5693,5871,5374,4938,5064,4315,4249,4840,4781,5812,5892,5462,5225,6035,4580,4673,5806,6043,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.35481,45.53302]}"
1328,-114.36653,919.0,Biomass,,142,149,161,183,208,212,240,249,268,277,129,159,163,177,202,211,232,255,266,287,749,1275,1875,1915,2000,2308,1429,1066,720,949,912,1572,2065,1965,2216,2015,1355,875,634,671,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36653,45.55272]}",,3407,4685,5556,5759,5808,5362,5068,4776,4925,4440,3671,5919,6065,6531,6483,6089,5492,4837,4175,5363,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36653,45.55272]}"
1327,-114.36885,918.0,Biomass,,142,156,161,192,208,212,240,249,268,277,129,159,163,177,202,211,232,243,266,287,710,1111,1972,2388,1863,1905,1302,1066,758,542,893,1374,2065,1988,2166,2084,1410,1311,816,485,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36885,45.55122]}",,3110,4862,5065,6157,5895,5080,5207,4776,5008,4313,3993,5638,6065,6547,6503,6259,5685,4914,4379,5130,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36885,45.55122]}"
1326,-114.36772,917.0,Biomass,,142,156,161,192,208,212,240,249,268,277,129,159,163,177,202,211,232,243,266,287,710,1111,1972,2388,1863,1905,1302,1066,758,542,893,1374,2065,1988,2166,2084,1410,1311,816,485,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36772,45.55156]}",,3110,4862,5065,6157,5895,5080,5207,4776,5008,4313,3993,5638,6065,6547,6503,6259,5685,4914,4379,5130,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36772,45.55156]}"
1329,-114.36637,920.0,Biomass,,142,149,161,183,208,212,240,249,268,277,129,159,163,177,202,211,232,255,266,287,749,1275,1875,1915,2000,2308,1429,1066,720,949,912,1572,2065,1965,2216,2015,1355,875,634,671,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36637,45.55212]}",,3407,4685,5556,5759,5808,5362,5068,4776,4925,4440,3671,5919,6065,6531,6483,6089,5492,4837,4175,5363,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.36637,45.55212]}"
1302,-114.27773,878.0,Biomass,,142,156,172,188,208,219,239,249,268,281,130,159,163,179,193,211,238,243,266,287,1251,1626,1550,2061,2000,2487,1830,1578,1328,1407,1453,1682,2255,2541,2277,2223,1823,1851,1614,1227,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27773,45.53849]}",,3716,5729,5569,6451,6039,5521,7198,5500,5991,4602,6524,5740,5889,6503,6373,6312,5045,5475,4858,5508,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27773,45.53849]}"
1299,-114.27872,875.0,Biomass,,142,156,172,188,208,219,239,249,268,281,130,159,163,179,193,211,238,243,266,287,1251,1626,1550,2061,2000,2487,1830,1578,1328,1407,1453,1682,2255,2541,2277,2223,1823,1851,1614,1227,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27872,45.53924]}",,3716,5729,5569,6451,6039,5521,7198,5500,5991,4602,6524,5740,5889,6503,6373,6312,5045,5475,4858,5508,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27872,45.53924]}"
1301,-114.27888,877.0,Biomass,,142,155,172,192,208,219,239,249,268,281,129,159,163,179,193,211,238,243,266,273,1196,2386,2121,2073,2232,2255,1828,2027,1579,1329,1181,1854,2167,2580,1975,2170,1984,1489,1718,1567,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27888,45.53487]}",,4377,5187,6137,5709,5919,5546,7109,5572,5605,4385,4120,6027,5724,6066,6346,5899,4992,5081,4982,5268,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27888,45.53487]}"
1298,-114.27717,874.0,Biomass,,142,155,172,192,208,219,239,249,268,281,129,159,163,179,193,211,238,243,266,273,1196,2386,2121,2073,2232,2255,1828,2027,1579,1329,1181,1854,2167,2580,1975,2170,1984,1489,1718,1567,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27717,45.535]}",,4377,5187,6137,5709,5919,5546,7109,5572,5605,4385,4120,6027,5724,6066,6346,5899,4992,5081,4982,5268,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27717,45.535]}"
1300,-114.27755,876.0,Biomass,,142,155,172,192,208,219,239,249,268,281,129,159,163,179,193,211,238,243,266,273,1196,2386,2121,2073,2232,2255,1828,2027,1579,1329,1181,1854,2167,2580,1975,2170,1984,1489,1718,1567,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27755,45.53409]}",,4377,5187,6137,5709,5919,5546,7109,5572,5605,4385,4120,6027,5724,6066,6346,5899,4992,5081,4982,5268,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27755,45.53409]}"
1290,-114.27199,864.0,Biomass,,142,155,172,183,208,219,229,256,268,281,129,159,163,179,200,211,238,252,266,287,1670,2400,499,1694,1986,2184,1653,1652,1688,1438,1378,1464,1926,2125,1964,1913,2112,1842,1654,1689,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27199,45.51828]}",,5338,5561,4988,5473,5845,5198,6135,5352,6120,4810,3655,5593,5698,5682,6081,5905,5163,5464,5643,6118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27199,45.51828]}"
1293,-114.27084,868.0,Biomass,,142,155,172,183,208,219,229,256,268,281,129,159,163,179,200,211,238,252,266,287,1670,2400,499,1694,1986,2184,1653,1652,1688,1438,1378,1464,1926,2125,1964,1913,2112,1842,1654,1689,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27084,45.5177]}",,5338,5561,4988,5473,5845,5198,6135,5352,6120,4810,3655,5593,5698,5682,6081,5905,5163,5464,5643,6118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27084,45.5177]}"
1291,-114.27027,865.0,Biomass,,142,155,172,183,208,219,229,256,268,281,129,159,163,179,200,211,238,252,266,287,1670,2400,499,1694,1986,2184,1653,1652,1688,1438,1378,1464,1926,2125,1964,1913,2112,1842,1654,1689,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27027,45.51844]}",,5338,5561,4988,5473,5845,5198,6135,5352,6120,4810,3655,5593,5698,5682,6081,5905,5163,5464,5643,6118,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27027,45.51844]}"
1292,-114.26964,866.0,Biomass,,142,156,172,192,208,219,229,256,263,283,129,159,163,179,200,211,238,255,266,287,1256,1311,729,1577,1463,1976,1446,1107,1060,1348,1118,1464,1897,2100,2041,1899,1738,1360,1208,1220,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.26964,45.51993]}",,3293,5350,5505,5137,4978,5228,5581,4773,5238,4936,4084,5593,5630,5803,6155,5730,5018,5925,4990,6137,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.26964,45.51993]}"
1408,-114.28016,1100.0,Biomass,,132,149,174,190,206,217,240,254,268,283,129,159,175,179,200,223,227,254,264,278,2521,2114,2380,2554,2312,2825,2499,2503,2735,2946,2174,2394,2786,2594,2424,2342,2357,2789,2520,2740,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28016,45.81101]}",,5817,5837,5833,6044,6020,5776,5489,6072,6717,5996,5372,6352,6708,5401,6211,6467,5187,5732,6116,6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28016,45.81101]}"
1407,-114.28311,1099.0,Biomass,,132,149,174,183,205,217,240,254,263,283,129,159,167,179,200,223,227,254,270,278,2956,2647,2834,2723,3614,3235,2826,2503,2692,2946,2450,2575,3283,2716,2395,2617,2421,3104,3137,3079,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28311,45.81361]}",,5900,6369,6405,5991,6893,6149,5984,6072,6116,5996,5620,6534,6141,5621,6161,6744,5218,5992,5973,7172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28311,45.81361]}"
1404,-114.27979,1096.0,Biomass,,132,149,174,183,208,217,226,245,268,283,129,159,170,179,200,218,227,254,264,279,2935,2547,2809,2855,3018,3150,3084,2602,3014,3005,2523,2585,2809,2955,2596,2550,2731,2849,2766,2944,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27979,45.81474]}",,5984,6202,6327,6292,6280,6263,6311,6657,6964,6115,5947,6546,6150,5901,6313,6143,5718,5946,6410,6174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27979,45.81474]}"
1405,-114.28146,1097.0,Biomass,,141,155,174,183,208,217,226,245,268,283,129,159,163,179,200,223,227,254,264,288,2922,3365,2856,2810,2826,2926,2958,2428,3014,3005,2194,2386,2852,2839,2450,2381,2498,2634,2410,3172,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28146,45.81618]}",,6402,6124,6802,6349,6154,5965,6262,6558,6964,6115,5560,6419,5870,5904,6435,6672,5624,5749,6301,6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.28146,45.81618]}"
1409,-114.27502,1101.0,Biomass,,132,155,174,190,208,217,226,254,268,283,129,159,170,179,200,223,227,255,264,278,3049,3489,2998,2986,3012,3283,3165,2621,2797,2950,2422,2509,2883,2921,2425,2518,2493,2632,2541,3013,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27502,45.81963]}",,6317,6441,6844,6844,6569,6630,6502,6365,7003,6197,6263,6732,6290,6053,6668,6843,5609,6707,6448,7333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27502,45.81963]}"
1412,-114.27317,1104.0,Biomass,,132,149,174,190,201,217,226,245,267,283,129,159,167,179,200,223,227,255,264,278,2824,2570,3182,3086,3276,3165,3161,2692,3008,2950,2472,2563,3472,2893,2393,2514,2503,2632,2613,2981,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27317,45.82141]}",,5960,6429,7055,6933,6261,6193,6371,7075,6260,6033,6201,6792,6582,5943,6497,6846,5553,6707,6559,7326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27317,45.82141]}"
1410,-114.27261,1102.0,Biomass,,132,149,174,190,201,217,226,245,267,283,129,159,167,179,200,223,227,255,264,278,2824,2570,3182,3086,3276,3165,3161,2692,3008,2950,2472,2563,3472,2893,2393,2514,2503,2632,2613,2981,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27261,45.82174]}",,5960,6429,7055,6933,6261,6193,6371,7075,6260,6033,6201,6792,6582,5943,6497,6846,5553,6707,6559,7326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27261,45.82174]}"
1411,-114.26773,1103.0,Biomass,,132,149,174,181,205,217,226,254,268,283,129,159,167,179,200,223,227,255,271,278,2829,2556,2719,2801,3681,2999,2929,2541,2863,2790,2424,2521,3361,2905,2552,2463,2357,2650,2975,2959,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.26773,45.81951]}",,5950,6390,6306,6748,6967,5889,6015,6271,6965,6052,5813,6659,6333,5933,6603,6681,5356,6719,7122,7330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.26773,45.81951]}"
1406,-114.27837,1098.0,Biomass,,132,149,174,190,206,217,226,245,268,283,129,159,167,177,200,223,227,254,264,278,2956,2547,2809,2873,2581,3049,3138,2554,3014,2919,2450,2385,3283,2381,2346,2612,2280,3104,2766,3079,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27837,45.81254]}",,5900,6202,6327,6293,6276,5930,6206,6539,6964,5909,5620,6336,6141,5836,6060,6719,5087,5992,6410,7172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.27837,45.81254]}"
1255,-114.03531,712.0,Biomass,,140,160,174,181,208,212,240,245,268,279,133,156,170,179,195,218,227,255,264,273,2273,2566,2398,2238,2477,2896,2090,1538,1376,1495,2653,3058,2839,2980,2198,1985,1726,1537,1566,1417,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.03531,45.97337]}",,5920,5586,5584,5952,5626,5590,5575,5477,5351,4892,5267,6106,6512,6067,5226,5103,4314,5318,5357,4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.03531,45.97337]}"
1256,-114.02995,713.0,Biomass,,140,149,174,181,208,210,240,249,268,279,129,156,161,179,200,223,227,255,264,273,2181,2153,2345,2306,2142,2214,1860,1808,1350,1139,1908,2931,2820,2687,2266,2029,2088,1520,1528,1312,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.02995,45.97512]}",,6067,5771,5606,5803,5414,4382,5407,4814,5465,4589,5465,6102,6573,5946,5923,5876,4905,5226,4656,4360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.02995,45.97512]}"
1254,-114.03381,711.0,Biomass,,140,156,174,187,204,210,226,251,268,279,129,159,163,179,195,211,238,254,271,277,2273,2868,2349,3459,2176,3004,2156,2562,1668,1193,1827,2471,3467,2744,1461,2345,2586,2408,1614,1430,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.03381,45.97599]}",,5920,6577,5714,5841,6126,5048,4731,5197,5504,4084,4859,6624,6598,5576,5386,5375,4756,4896,5213,4186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.03381,45.97599]}"
1253,-114.0332,709.0,Biomass,,140,156,174,187,204,210,226,251,268,279,129,159,163,179,195,211,238,254,271,277,2273,2868,2349,3459,2176,3004,2156,2562,1668,1193,1827,2471,3467,2744,1461,2345,2586,2408,1614,1430,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.0332,45.97632]}",,5920,6577,5714,5841,6126,5048,4731,5197,5504,4084,4859,6624,6598,5576,5386,5375,4756,4896,5213,4186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.0332,45.97632]}"
1281,-114.06466,825.0,Biomass,,140,149,174,181,204,212,240,247,268,279,129,159,165,179,200,211,227,255,268,277,2432,2535,2444,2611,2088,2070,1662,1586,1673,1344,2067,2754,2521,2477,2137,1919,1919,1725,1529,1522,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.06466,45.86891]}",,4903,4885,4479,5035,4550,3459,3197,3098,3412,2800,4002,5373,4145,4286,3949,3536,3493,3459,2782,2596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.06466,45.86891]}"
1283,-114.06842,827.0,Biomass,,140,149,172,181,204,212,240,245,268,279,129,159,165,179,200,211,227,255,271,277,2067,2608,2655,2253,2073,2229,1653,1713,1670,1473,2019,2796,2589,2407,2315,1841,1871,1805,1719,1438,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.06842,45.86814]}",,4441,4866,5116,4554,4756,3587,3108,3507,3392,2845,3978,5386,4320,4035,4429,3420,3442,3752,3305,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.06842,45.86814]}"
1282,-114.0713,826.0,Biomass,,140,149,172,181,204,212,240,245,268,279,129,159,165,179,200,211,227,255,271,277,2067,2608,2655,2253,2073,2229,1653,1713,1670,1473,2019,2796,2589,2407,2315,1841,1871,1805,1719,1438,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.0713,45.86853]}",,4441,4866,5116,4554,4756,3587,3108,3507,3392,2845,3978,5386,4320,4035,4429,3420,3442,3752,3305,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-114.0713,45.86853]}"
